day,month,year,hour,min,elev
24,10,2018,3,23,2.68
24,10,2018,3,24,2.68
24,10,2018,3,25,2.65
24,10,2018,3,26,2.71
24,10,2018,3,27,2.67
24,10,2018,3,28,2.68
24,10,2018,3,29,2.66
24,10,2018,3,30,2.63
24,10,2018,3,31,2.66
24,10,2018,3,32,2.64
24,10,2018,3,33,2.64
24,10,2018,3,34,2.66
24,10,2018,3,35,2.65
24,10,2018,3,36,2.65
24,10,2018,3,37,2.61
24,10,2018,3,38,2.63
24,10,2018,3,49,2.58
24,10,2018,3,50,2.56
24,10,2018,3,51,2.54
24,10,2018,3,52,2.58
24,10,2018,3,53,2.55
24,10,2018,3,54,2.57
24,10,2018,3,55,2.57
24,10,2018,3,56,2.55
24,10,2018,3,57,2.57
24,10,2018,3,58,2.56
24,10,2018,3,59,2.56
24,10,2018,4,0,2.55
24,10,2018,4,1,2.53
24,10,2018,4,2,2.53
24,10,2018,4,3,2.54
24,10,2018,4,4,2.51
24,10,2018,4,5,2.5
24,10,2018,4,6,2.49
24,10,2018,4,7,2.52
24,10,2018,4,8,2.51
24,10,2018,4,9,2.49
24,10,2018,4,10,2.5
24,10,2018,4,11,2.48
24,10,2018,4,12,2.49
24,10,2018,4,13,2.46
24,10,2018,4,14,2.44
24,10,2018,4,15,2.44
24,10,2018,4,16,2.46
24,10,2018,4,17,2.47
24,10,2018,4,18,2.48
24,10,2018,4,19,2.45
24,10,2018,4,20,2.47
24,10,2018,4,21,2.46
24,10,2018,4,22,2.44
24,10,2018,4,23,2.42
24,10,2018,4,24,2.43
24,10,2018,4,25,2.43
24,10,2018,4,26,2.42
24,10,2018,4,27,2.43
24,10,2018,4,28,2.42
24,10,2018,4,29,2.42
24,10,2018,4,30,2.42
24,10,2018,4,31,2.4
24,10,2018,4,32,2.39
24,10,2018,4,33,2.37
24,10,2018,4,34,2.35
24,10,2018,4,35,2.38
24,10,2018,4,36,2.39
24,10,2018,4,37,2.33
24,10,2018,4,38,2.35
24,10,2018,4,39,2.36
24,10,2018,4,40,2.34
24,10,2018,4,41,2.36
24,10,2018,4,42,2.32
24,10,2018,4,43,2.32
24,10,2018,4,44,2.32
24,10,2018,4,45,2.31
24,10,2018,4,46,2.3
24,10,2018,4,47,2.32
24,10,2018,4,48,2.29
24,10,2018,4,49,2.32
24,10,2018,4,50,2.33
24,10,2018,4,51,2.33
24,10,2018,4,52,2.33
24,10,2018,4,53,2.3
24,10,2018,4,54,2.31
24,10,2018,4,55,2.29
24,10,2018,4,56,2.26
24,10,2018,4,57,2.27
24,10,2018,4,58,2.23
24,10,2018,4,59,2.24
