Time (UTC)	prs(m)	rad(m)
2019-11-28 02:31:29	3.443	4.432
2019-11-28 02:32:29	3.495	4.484
2019-11-28 02:33:29	3.46	4.449
2019-11-28 02:34:29	3.422	4.411
2019-11-28 02:35:29	3.459	4.447
2019-11-28 02:36:29	3.443	4.432
2019-11-28 02:37:29	3.439	4.427
2019-11-28 02:38:29	3.374	4.363
2019-11-28 02:39:29	3.449	4.438
2019-11-28 02:40:29	3.434	4.422
2019-11-28 02:41:29	3.521	4.509
2019-11-28 02:42:29	3.392	4.381
2019-11-28 02:43:29	3.402	4.391
2019-11-28 02:44:29	3.392	4.38
2019-11-28 02:45:29	3.525	4.514
2019-11-28 02:46:29	3.365	4.355
2019-11-28 02:47:29	3.399	4.386
2019-11-28 02:48:29	3.516	4.505
2019-11-28 02:49:29	3.473	4.462
2019-11-28 02:50:29	3.416	4.404
2019-11-28 02:51:29	3.413	4.402
2019-11-28 02:52:29	3.503	4.492
2019-11-28 02:53:29	3.394	4.382
2019-11-28 02:54:29	3.514	4.503
2019-11-28 02:55:29	3.463	4.451
2019-11-28 02:56:29	3.299	4.288
2019-11-28 02:57:29	3.505	4.494
2019-11-28 02:58:29	3.454	4.442
2019-11-28 02:59:29	3.37	4.359
2019-11-28 03:00:29	3.387	4.376
2019-11-28 03:01:29	3.529	4.517
2019-11-28 03:02:29	3.42	4.409
2019-11-28 03:03:29	3.425	4.414
2019-11-28 03:04:29	3.357	4.345
2019-11-28 03:05:29	3.449	4.438
2019-11-28 03:06:29	3.575	4.564
2019-11-28 03:07:29	3.431	4.421
2019-11-28 03:08:29	3.384	4.372
2019-11-28 03:09:29	3.51	4.499
2019-11-28 03:10:29	3.426	4.416
2019-11-28 03:11:29	3.413	4.403
2019-11-28 03:12:29	3.452	4.441
2019-11-28 03:13:29	3.481	4.47
2019-11-28 03:14:29	3.417	4.406
2019-11-28 03:15:29	3.433	4.423
2019-11-28 03:16:29	3.47	4.459
2019-11-28 03:17:29	3.585	4.574
